"AllTRLs_ID","date","predicted","actual","Trail_name"
98,"2016-10-14",29.16,NA,"CCC Trail (DNR)"
99,"2016-10-14",29.16,NA,"High Lakes"
100,"2016-10-14",29.16,NA,"Williams Lake"
101,"2016-10-14",29.16,NA,"Rock Creek"
102,"2016-10-14",29.16,NA,"Nordrum Lake"
103,"2016-10-14",29.16,NA,"Hester Lake"
104,"2016-10-14",29.16,NA,"Granite Creak Connector"
105,"2016-10-14",29.16,NA,"Dutch Miller Gap"
5,"2016-10-21",3.45,13.5,"Dingford Creek"
6,"2016-10-21",792.99,1284,"Snow Lake"
38,"2016-10-21",29.16,NA,"Quartz Creek"
39,"2016-10-21",31.01,NA,"Marten Lake"
40,"2016-10-21",22.91,80.5,"Snoqualmie Lake"
42,"2016-10-21",29.16,NA,"CCC"
43,"2016-10-21",29.16,NA,"Middle Fork Lake"
44,"2016-10-21",29.16,NA,"Pratt River"
62,"2016-10-21",31.66,NA,"Pratt Lake"
64,"2016-10-21",37.74,NA,"Melakwa Lake Trail"
66,"2016-10-21",29.16,NA,"Kaleetan Lake"
90,"2016-10-21",42.33,NA,"Mailbox Peak"
91,"2016-10-21",29.16,NA,"Boulder Garden"
93,"2016-10-21",48.22,NA,"Mt. Si"
94,"2016-10-21",29.16,NA,"Teneriffe"
95,"2016-10-21",29.16,NA,"Granite Creek"
96,"2016-10-21",32.59,NA,"Little Si"
97,"2016-10-21",29.16,NA,"Thompson Lake"
98,"2016-10-21",29.16,NA,"CCC Trail (DNR)"
99,"2016-10-21",29.16,NA,"High Lakes"
100,"2016-10-21",29.16,NA,"Williams Lake"
101,"2016-10-21",29.16,NA,"Rock Creek"
102,"2016-10-21",29.16,NA,"Nordrum Lake"
103,"2016-10-21",29.16,NA,"Hester Lake"
104,"2016-10-21",29.16,NA,"Granite Creak Connector"
105,"2016-10-21",32.01,NA,"Dutch Miller Gap"
5,"2016-10-28",3.4,5.5,"Dingford Creek"
6,"2016-10-28",431.35,608.5,"Snow Lake"
38,"2016-10-28",29.16,NA,"Quartz Creek"
39,"2016-10-28",29.16,NA,"Marten Lake"
40,"2016-10-28",27.46,69.5,"Snoqualmie Lake"
42,"2016-10-28",30.23,NA,"CCC"
43,"2016-10-28",29.16,NA,"Middle Fork Lake"
44,"2016-10-28",29.16,NA,"Pratt River"
62,"2016-10-28",30.17,NA,"Pratt Lake"
64,"2016-10-28",31.97,NA,"Melakwa Lake Trail"
66,"2016-10-28",29.16,NA,"Kaleetan Lake"
90,"2016-10-28",41.31,NA,"Mailbox Peak"
91,"2016-10-28",29.16,NA,"Boulder Garden"
93,"2016-10-28",44.03,NA,"Mt. Si"
94,"2016-10-28",29.16,NA,"Teneriffe"
95,"2016-10-28",29.16,NA,"Granite Creek"
96,"2016-10-28",29.16,NA,"Little Si"
97,"2016-10-28",29.16,NA,"Thompson Lake"
98,"2016-10-28",29.16,NA,"CCC Trail (DNR)"
99,"2016-10-28",29.16,NA,"High Lakes"
100,"2016-10-28",29.16,NA,"Williams Lake"
101,"2016-10-28",29.16,NA,"Rock Creek"
102,"2016-10-28",29.16,NA,"Nordrum Lake"
103,"2016-10-28",29.16,NA,"Hester Lake"
104,"2016-10-28",29.16,NA,"Granite Creak Connector"
105,"2016-10-28",29.16,NA,"Dutch Miller Gap"
5,"2016-11-04",2.6,12.5,"Dingford Creek"
6,"2016-11-04",421.93,1116.5,"Snow Lake"
38,"2016-11-04",25.51,NA,"Quartz Creek"
39,"2016-11-04",25.51,NA,"Marten Lake"
40,"2016-11-04",27.65,80.5,"Snoqualmie Lake"
42,"2016-11-04",26.95,NA,"CCC"
43,"2016-11-04",25.51,NA,"Middle Fork Lake"
44,"2016-11-04",25.51,NA,"Pratt River"
62,"2016-11-04",28.66,NA,"Pratt Lake"
64,"2016-11-04",27.42,NA,"Melakwa Lake Trail"
66,"2016-11-04",25.51,NA,"Kaleetan Lake"
90,"2016-11-04",40.32,NA,"Mailbox Peak"
91,"2016-11-04",25.51,NA,"Boulder Garden"
93,"2016-11-04",41.58,NA,"Mt. Si"
94,"2016-11-04",25.51,NA,"Teneriffe"
95,"2016-11-04",25.51,NA,"Granite Creek"
96,"2016-11-04",25.51,NA,"Little Si"
97,"2016-11-04",25.51,NA,"Thompson Lake"
98,"2016-11-04",25.51,NA,"CCC Trail (DNR)"
99,"2016-11-04",25.51,NA,"High Lakes"
100,"2016-11-04",25.51,NA,"Williams Lake"
101,"2016-11-04",25.51,NA,"Rock Creek"
102,"2016-11-04",25.51,NA,"Nordrum Lake"
103,"2016-11-04",25.51,NA,"Hester Lake"
104,"2016-11-04",25.51,NA,"Granite Creak Connector"
105,"2016-11-04",25.51,NA,"Dutch Miller Gap"
5,"2016-11-11",2.57,5,"Dingford Creek"
6,"2016-11-11",568.1,903.5,"Snow Lake"
38,"2016-11-11",25.51,NA,"Quartz Creek"
39,"2016-11-11",25.51,NA,"Marten Lake"
40,"2016-11-11",22.77,61.5,"Snoqualmie Lake"
42,"2016-11-11",25.51,NA,"CCC"
43,"2016-11-11",26.47,NA,"Middle Fork Lake"
44,"2016-11-11",25.51,NA,"Pratt River"
62,"2016-11-11",33.47,NA,"Pratt Lake"
64,"2016-11-11",30.12,NA,"Melakwa Lake Trail"
66,"2016-11-11",25.51,NA,"Kaleetan Lake"
90,"2016-11-11",37.56,NA,"Mailbox Peak"
91,"2016-11-11",25.51,NA,"Boulder Garden"
93,"2016-11-11",39.61,NA,"Mt. Si"
94,"2016-11-11",25.51,NA,"Teneriffe"
95,"2016-11-11",25.51,NA,"Granite Creek"
96,"2016-11-11",25.51,NA,"Little Si"
97,"2016-11-11",25.51,NA,"Thompson Lake"
98,"2016-11-11",25.51,NA,"CCC Trail (DNR)"
99,"2016-11-11",25.51,NA,"High Lakes"
100,"2016-11-11",25.51,NA,"Williams Lake"
101,"2016-11-11",25.51,NA,"Rock Creek"
102,"2016-11-11",25.51,NA,"Nordrum Lake"
103,"2016-11-11",25.51,NA,"Hester Lake"
104,"2016-11-11",25.51,NA,"Granite Creak Connector"
105,"2016-11-11",25.51,NA,"Dutch Miller Gap"
5,"2016-11-18",3.13,23,"Dingford Creek"
6,"2016-11-18",717.65,695,"Snow Lake"
38,"2016-11-18",28.36,NA,"Quartz Creek"
39,"2016-11-18",33.31,NA,"Marten Lake"
40,"2016-11-18",24.57,58,"Snoqualmie Lake"
42,"2016-11-18",28.36,NA,"CCC"
43,"2016-11-18",28.36,NA,"Middle Fork Lake"
44,"2016-11-18",28.36,NA,"Pratt River"
62,"2016-11-18",32.68,NA,"Pratt Lake"
64,"2016-11-18",35.21,NA,"Melakwa Lake Trail"
66,"2016-11-18",28.36,NA,"Kaleetan Lake"
90,"2016-11-18",39.28,NA,"Mailbox Peak"
91,"2016-11-18",28.36,NA,"Boulder Garden"
93,"2016-11-18",45.06,NA,"Mt. Si"
94,"2016-11-18",28.36,NA,"Teneriffe"
95,"2016-11-18",28.36,NA,"Granite Creek"
96,"2016-11-18",34.51,NA,"Little Si"
97,"2016-11-18",28.36,NA,"Thompson Lake"
98,"2016-11-18",28.36,NA,"CCC Trail (DNR)"
99,"2016-11-18",28.36,NA,"High Lakes"
100,"2016-11-18",28.36,NA,"Williams Lake"
101,"2016-11-18",28.36,NA,"Rock Creek"
102,"2016-11-18",28.36,NA,"Nordrum Lake"
103,"2016-11-18",28.36,NA,"Hester Lake"
104,"2016-11-18",28.36,NA,"Granite Creak Connector"
105,"2016-11-18",28.36,NA,"Dutch Miller Gap"
5,"2016-11-25",3.01,4,"Dingford Creek"
6,"2016-11-25",463.52,1063,"Snow Lake"
38,"2016-11-25",28.08,NA,"Quartz Creek"
39,"2016-11-25",30.92,NA,"Marten Lake"
40,"2016-11-25",35.65,87.5,"Snoqualmie Lake"
42,"2016-11-25",28.08,NA,"CCC"
43,"2016-11-25",32.57,NA,"Middle Fork Lake"
44,"2016-11-25",28.08,NA,"Pratt River"
62,"2016-11-25",31.92,NA,"Pratt Lake"
64,"2016-11-25",36.04,NA,"Melakwa Lake Trail"
66,"2016-11-25",28.08,NA,"Kaleetan Lake"
90,"2016-11-25",40.44,NA,"Mailbox Peak"
91,"2016-11-25",28.08,NA,"Boulder Garden"
93,"2016-11-25",48.57,NA,"Mt. Si"
94,"2016-11-25",33.04,NA,"Teneriffe"
95,"2016-11-25",28.08,NA,"Granite Creek"
96,"2016-11-25",30.48,NA,"Little Si"
97,"2016-11-25",28.08,NA,"Thompson Lake"
98,"2016-11-25",28.08,NA,"CCC Trail (DNR)"
99,"2016-11-25",28.44,NA,"High Lakes"
100,"2016-11-25",28.08,NA,"Williams Lake"
101,"2016-11-25",28.08,NA,"Rock Creek"
102,"2016-11-25",28.08,NA,"Nordrum Lake"
103,"2016-11-25",28.08,NA,"Hester Lake"
104,"2016-11-25",28.08,NA,"Granite Creak Connector"
105,"2016-11-25",28.08,NA,"Dutch Miller Gap"
5,"2016-12-02",1.13,2.5,"Dingford Creek"
6,"2016-12-02",294.52,418.5,"Snow Lake"
38,"2016-12-02",16.14,NA,"Quartz Creek"
39,"2016-12-02",16.14,NA,"Marten Lake"
40,"2016-12-02",12.95,30,"Snoqualmie Lake"
42,"2016-12-02",16.79,NA,"CCC"
43,"2016-12-02",16.14,NA,"Middle Fork Lake"
44,"2016-12-02",16.14,NA,"Pratt River"
62,"2016-12-02",17.85,NA,"Pratt Lake"
64,"2016-12-02",18.91,NA,"Melakwa Lake Trail"
66,"2016-12-02",16.14,NA,"Kaleetan Lake"
90,"2016-12-02",24.86,NA,"Mailbox Peak"
91,"2016-12-02",16.14,NA,"Boulder Garden"
93,"2016-12-02",31.16,NA,"Mt. Si"
94,"2016-12-02",16.14,NA,"Teneriffe"
95,"2016-12-02",16.14,NA,"Granite Creek"
96,"2016-12-02",16.14,NA,"Little Si"
97,"2016-12-02",16.14,NA,"Thompson Lake"
98,"2016-12-02",16.14,NA,"CCC Trail (DNR)"
99,"2016-12-02",16.14,NA,"High Lakes"
100,"2016-12-02",16.14,NA,"Williams Lake"
101,"2016-12-02",16.14,NA,"Rock Creek"
102,"2016-12-02",16.14,NA,"Nordrum Lake"
103,"2016-12-02",16.14,NA,"Hester Lake"
104,"2016-12-02",16.14,NA,"Granite Creak Connector"
105,"2016-12-02",16.79,NA,"Dutch Miller Gap"
5,"2016-12-09",1.12,1,"Dingford Creek"
6,"2016-12-09",292.14,76,"Snow Lake"
38,"2016-12-09",16.14,NA,"Quartz Creek"
39,"2016-12-09",16.14,NA,"Marten Lake"
40,"2016-12-09",12.81,5,"Snoqualmie Lake"
42,"2016-12-09",16.79,NA,"CCC"
43,"2016-12-09",16.14,NA,"Middle Fork Lake"
44,"2016-12-09",16.14,NA,"Pratt River"
62,"2016-12-09",16.39,NA,"Pratt Lake"
64,"2016-12-09",19.27,NA,"Melakwa Lake Trail"
66,"2016-12-09",16.14,NA,"Kaleetan Lake"
90,"2016-12-09",21.97,NA,"Mailbox Peak"
91,"2016-12-09",16.14,NA,"Boulder Garden"
93,"2016-12-09",28.23,NA,"Mt. Si"
94,"2016-12-09",16.14,NA,"Teneriffe"
95,"2016-12-09",16.14,NA,"Granite Creek"
96,"2016-12-09",16.14,NA,"Little Si"
97,"2016-12-09",16.14,NA,"Thompson Lake"
98,"2016-12-09",16.14,NA,"CCC Trail (DNR)"
99,"2016-12-09",16.14,NA,"High Lakes"
100,"2016-12-09",16.14,NA,"Williams Lake"
101,"2016-12-09",16.14,NA,"Rock Creek"
102,"2016-12-09",16.14,NA,"Nordrum Lake"
103,"2016-12-09",16.14,NA,"Hester Lake"
104,"2016-12-09",16.14,NA,"Granite Creak Connector"
105,"2016-12-09",16.14,NA,"Dutch Miller Gap"
5,"2016-12-16",1.1,3,"Dingford Creek"
6,"2016-12-16",341.5,NA,"Snow Lake"
38,"2016-12-16",16.14,NA,"Quartz Creek"
39,"2016-12-16",16.14,NA,"Marten Lake"
40,"2016-12-16",12.88,17,"Snoqualmie Lake"
42,"2016-12-16",16.88,NA,"CCC"
43,"2016-12-16",16.14,NA,"Middle Fork Lake"
44,"2016-12-16",16.14,NA,"Pratt River"
62,"2016-12-16",16.41,NA,"Pratt Lake"
64,"2016-12-16",18.69,NA,"Melakwa Lake Trail"
66,"2016-12-16",16.14,NA,"Kaleetan Lake"
90,"2016-12-16",20.23,NA,"Mailbox Peak"
91,"2016-12-16",16.14,NA,"Boulder Garden"
93,"2016-12-16",28.18,NA,"Mt. Si"
94,"2016-12-16",16.14,NA,"Teneriffe"
95,"2016-12-16",16.14,NA,"Granite Creek"
96,"2016-12-16",16.14,NA,"Little Si"
97,"2016-12-16",16.14,NA,"Thompson Lake"
98,"2016-12-16",16.14,NA,"CCC Trail (DNR)"
99,"2016-12-16",16.14,NA,"High Lakes"
100,"2016-12-16",16.14,NA,"Williams Lake"
101,"2016-12-16",16.14,NA,"Rock Creek"
102,"2016-12-16",16.14,NA,"Nordrum Lake"
103,"2016-12-16",16.14,NA,"Hester Lake"
104,"2016-12-16",16.14,NA,"Granite Creak Connector"
105,"2016-12-16",16.14,NA,"Dutch Miller Gap"
5,"2016-12-23",2.52,2.5,"Dingford Creek"
6,"2016-12-23",545.53,NA,"Snow Lake"
38,"2016-12-23",23.88,NA,"Quartz Creek"
39,"2016-12-23",23.88,NA,"Marten Lake"
40,"2016-12-23",21.5,32.5,"Snoqualmie Lake"
42,"2016-12-23",23.88,NA,"CCC"
43,"2016-12-23",23.88,NA,"Middle Fork Lake"
44,"2016-12-23",23.88,NA,"Pratt River"
62,"2016-12-23",25.41,NA,"Pratt Lake"
64,"2016-12-23",30.59,NA,"Melakwa Lake Trail"
66,"2016-12-23",23.88,NA,"Kaleetan Lake"
90,"2016-12-23",34.84,NA,"Mailbox Peak"
91,"2016-12-23",23.88,NA,"Boulder Garden"
93,"2016-12-23",42.86,NA,"Mt. Si"
94,"2016-12-23",23.88,NA,"Teneriffe"
95,"2016-12-23",23.88,NA,"Granite Creek"
96,"2016-12-23",23.88,NA,"Little Si"
97,"2016-12-23",23.88,NA,"Thompson Lake"
98,"2016-12-23",23.88,NA,"CCC Trail (DNR)"
99,"2016-12-23",23.88,NA,"High Lakes"
100,"2016-12-23",23.88,NA,"Williams Lake"
101,"2016-12-23",23.88,NA,"Rock Creek"
102,"2016-12-23",23.88,NA,"Nordrum Lake"
103,"2016-12-23",23.88,NA,"Hester Lake"
104,"2016-12-23",23.88,NA,"Granite Creak Connector"
105,"2016-12-23",23.88,NA,"Dutch Miller Gap"
5,"2016-12-30",2.49,2.5,"Dingford Creek"
6,"2016-12-30",442.38,NA,"Snow Lake"
38,"2016-12-30",23.88,NA,"Quartz Creek"
39,"2016-12-30",23.88,NA,"Marten Lake"
40,"2016-12-30",19.5,52.5,"Snoqualmie Lake"
42,"2016-12-30",25.5,NA,"CCC"
43,"2016-12-30",23.88,NA,"Middle Fork Lake"
44,"2016-12-30",24.12,NA,"Pratt River"
62,"2016-12-30",26.6,NA,"Pratt Lake"
64,"2016-12-30",26.96,NA,"Melakwa Lake Trail"
66,"2016-12-30",23.88,NA,"Kaleetan Lake"
90,"2016-12-30",36.96,NA,"Mailbox Peak"
91,"2016-12-30",23.88,NA,"Boulder Garden"
93,"2016-12-30",50.67,NA,"Mt. Si"
94,"2016-12-30",23.88,NA,"Teneriffe"
95,"2016-12-30",23.88,NA,"Granite Creek"
96,"2016-12-30",24.53,NA,"Little Si"
97,"2016-12-30",23.88,NA,"Thompson Lake"
98,"2016-12-30",23.88,NA,"CCC Trail (DNR)"
99,"2016-12-30",23.88,NA,"High Lakes"
100,"2016-12-30",23.88,NA,"Williams Lake"
101,"2016-12-30",23.88,NA,"Rock Creek"
102,"2016-12-30",23.88,NA,"Nordrum Lake"
103,"2016-12-30",23.88,NA,"Hester Lake"
104,"2016-12-30",23.88,NA,"Granite Creak Connector"
105,"2016-12-30",24.53,NA,"Dutch Miller Gap"
5,"2016-02-05",0.64,NA,"Dingford Creek"
6,"2016-02-05",42.1,NA,"Snow Lake"
38,"2016-02-05",7.98,NA,"Quartz Creek"
39,"2016-02-05",7.98,NA,"Marten Lake"
40,"2016-02-05",4.57,NA,"Snoqualmie Lake"
42,"2016-02-05",7.98,NA,"CCC"
43,"2016-02-05",7.98,NA,"Middle Fork Lake"
44,"2016-02-05",7.98,NA,"Pratt River"
62,"2016-02-05",9.32,NA,"Pratt Lake"
64,"2016-02-05",7.98,NA,"Melakwa Lake Trail"
66,"2016-02-05",7.98,NA,"Kaleetan Lake"
90,"2016-02-05",11.33,NA,"Mailbox Peak"
91,"2016-02-05",7.98,NA,"Boulder Garden"
93,"2016-02-05",8.2,NA,"Mt. Si"
94,"2016-02-05",7.98,NA,"Teneriffe"
95,"2016-02-05",7.98,NA,"Granite Creek"
96,"2016-02-05",7.98,NA,"Little Si"
97,"2016-02-05",7.98,NA,"Thompson Lake"
98,"2016-02-05",7.98,NA,"CCC Trail (DNR)"
99,"2016-02-05",7.98,NA,"High Lakes"
100,"2016-02-05",7.98,NA,"Williams Lake"
101,"2016-02-05",7.98,NA,"Rock Creek"
102,"2016-02-05",7.98,NA,"Nordrum Lake"
103,"2016-02-05",7.98,NA,"Hester Lake"
104,"2016-02-05",7.98,NA,"Granite Creak Connector"
105,"2016-02-05",7.98,NA,"Dutch Miller Gap"
5,"2016-02-12",1.63,NA,"Dingford Creek"
6,"2016-02-12",82.53,NA,"Snow Lake"
38,"2016-02-12",12.5,NA,"Quartz Creek"
39,"2016-02-12",12.5,NA,"Marten Lake"
40,"2016-02-12",7.79,NA,"Snoqualmie Lake"
42,"2016-02-12",12.5,NA,"CCC"
43,"2016-02-12",12.5,NA,"Middle Fork Lake"
44,"2016-02-12",12.5,NA,"Pratt River"
62,"2016-02-12",13.46,NA,"Pratt Lake"
64,"2016-02-12",12.65,NA,"Melakwa Lake Trail"
66,"2016-02-12",12.5,NA,"Kaleetan Lake"
90,"2016-02-12",16.95,NA,"Mailbox Peak"
91,"2016-02-12",12.5,NA,"Boulder Garden"
93,"2016-02-12",15.75,NA,"Mt. Si"
94,"2016-02-12",15.04,NA,"Teneriffe"
95,"2016-02-12",12.5,NA,"Granite Creek"
96,"2016-02-12",12.5,NA,"Little Si"
97,"2016-02-12",12.5,NA,"Thompson Lake"
98,"2016-02-12",12.5,NA,"CCC Trail (DNR)"
99,"2016-02-12",12.5,NA,"High Lakes"
100,"2016-02-12",12.5,NA,"Williams Lake"
101,"2016-02-12",12.5,NA,"Rock Creek"
102,"2016-02-12",12.5,NA,"Nordrum Lake"
103,"2016-02-12",12.5,NA,"Hester Lake"
104,"2016-02-12",12.5,NA,"Granite Creak Connector"
105,"2016-02-12",12.5,NA,"Dutch Miller Gap"
5,"2016-02-19",0.62,NA,"Dingford Creek"
6,"2016-02-19",48.76,NA,"Snow Lake"
38,"2016-02-19",7.98,NA,"Quartz Creek"
39,"2016-02-19",7.98,NA,"Marten Lake"
40,"2016-02-19",4.63,NA,"Snoqualmie Lake"
42,"2016-02-19",9.62,NA,"CCC"
43,"2016-02-19",7.98,NA,"Middle Fork Lake"
44,"2016-02-19",7.98,NA,"Pratt River"
62,"2016-02-19",8.58,NA,"Pratt Lake"
64,"2016-02-19",8.44,NA,"Melakwa Lake Trail"
66,"2016-02-19",7.98,NA,"Kaleetan Lake"
90,"2016-02-19",12.24,NA,"Mailbox Peak"
91,"2016-02-19",7.98,NA,"Boulder Garden"
93,"2016-02-19",11.8,NA,"Mt. Si"
94,"2016-02-19",7.98,NA,"Teneriffe"
95,"2016-02-19",7.98,NA,"Granite Creek"
96,"2016-02-19",9.21,NA,"Little Si"
97,"2016-02-19",7.98,NA,"Thompson Lake"
98,"2016-02-19",7.98,NA,"CCC Trail (DNR)"
99,"2016-02-19",7.98,NA,"High Lakes"
